table,roll,name,type,old_page,new_page
S3,290,of Set,Daggers,97,368
S3,296,of Throwing,Daggers,120,369
S3,30,of Dispelling,Arrows,1277,88
S3,300-301,of Truth,Daggers,893,370
S3,309,of Biting,Darts,85,371
S3,31,of Distance,Arrows,176,88
S3,310,of Blinking,Darts,240,372
S3,312,of Charming,Darts,1321,372
S3,313,of Climbing,Darts,1043,372
S3,314,of Curing,Darts,751,372
S3,317-318,of Disarming,Darts,88,373
S3,319,of Dispelling,Darts,1277,373
S3,320,of Flying,Darts,1513,373
S3,323,Illusory Missiles,Darts,91,374
S3,328,of Screaming,Darts,96,374
S3,33,Elven,Arrows,74,88
S3,333,of Stunning,Darts,822,375
S3,337,of Transporting,Darts,101,375
S3,338,of Wounding,Darts,1331,375
S3,34,of Enchantment,Arrows,1512,89
S3,359,Air,Hammers,697,551
S3,364,Flandal Steelskin's,Hammers,58,553
S3,379,of Silence,Hammers,"[704, 705]",558
S3,380,Storm,Hammers,681,558
S3,39,of Fire,Arrows,1481,89
S3,396,Cursed,Javelins,"[1071, 1072]",623
S3,397,of Distance,Javelins,176,623
S3,400,of Lightning,Javelins,633,623
S3,401,of Piercing,Javelins,93,624
S3,411,Copper,Lances,321,647
S3,412,Death,Lances,1478,647
S3,415,of Fire,Lances,1481,647
S3,420,of Piercing,Lances,93,649
S3,425,Venom,Lances,"[366, 371, 1375]",650
S3,43,of Flying,Arrows,1513,90
S3,432,of Darkness,Maces,1477,675
S3,433,Diamond,Maces,205,676
S3,437,Great Golden of the North,Maces,"[675, 681]",677
S3,438,Great Holy Icon,Maces,"[675, 681]",677
S3,44,of Force,Arrows,1482,90
S3,441-442,Mace-Wand,Maces,1480,677
S3,450,Skull,Maces,705,678
S3,455,Staff-Mace,Maces,"[1278, 1279, 1280]",681
S3,46,of Holding,Arrows,1514,90
S3,48,of Ice,Arrows,351,91
S3,49,of Illumination,Arrows,1483,91
S3,51,of Justice,Arrows,386,91
S3,52-53,of Law,Arrows,156,91
S3,524,Black,Quivers,675,929
S3,528,of Returning,Quivers,527,929
S3,54,of Light,Arrows,374,91
S3,541,Black,Sickles,675,1114
S3,544,Golden,Sickles,1303,1115
S3,55,of Lighting,Arrows,374,92
S3,555,of Accuracy,Spears,176,1129
S3,56,of Lightning,Arrows,633,92
S3,572,of Obliteration,Spears,1488,1131
S3,573,of Panic,Spears,1555,1131
S3,575,Returning,Spears,527,1131
S3,67,of Penetrating,Arrows,374,93
S3,68,of Penetration,Arrows,557,93
S3,72,of Polymorphing,Arrows,1491,93
S3,739,Frey's,Swords,1106,1370
S3,77,Red,Arrows,807,95
S3,78,of Refilling,Arrows,374,95
S3,781,Heartseeker,Swords,1130,1374
S3,782,Heimdall's,Swords,77,1374
S3,786,Holy,Swords,1505,1375
S3,79,of Returning,Arrows,527,95
S3,817,Lemmikainen's,Swords,78,1380
S3,821,of Light,Swords,374,1381
S3,851,of Night,Swords,704,1385
S3,871,of the Planes,Swords,38,1387
S3,875,of Quickness,Swords,366,1388
S3,88-89,of Signaling,Arrows,633,97
S3,90,of Silence,Arrows,"[704, 705]",97
S3,907,of Sharpness,Swords,777,1392
S3,91,of Sinking,Arrows,374,97
S3,915,Singing,Swords,1117,1396
S3,918-919,Slayer,Swords,847,1396
S3,927,Spectral,Swords,1525,1403
S3,96,Snake,Arrows,910,100
S3,969,White,Swords,1105,1413
S3,97,of Speaking,Arrows,375,100
S3,973,of Wishes,Swords,219,1413
S3,975,of Wounding,Swords,1331,1414
S3,982,Yondalla's,Swords,1106,1415
S3,984,Zinzerena's,Swords,312,1415
S3,989-990,of Feathers,Whips,1480,1533
S3,99,of Stunning,Arrows,822,100
S3,998,of Summoning,Whips,822,1534
T,677-682,Crown of Evil,Regalia of Might II,941,943
T,694-699,Orb of Evil,Regalia of Might II,941,944
T,718-723,Scepter of Good,Regalia of Might II,944,941
C,288-291,of Fire Resistance,,1053,963
C,307-309,of Fortitude,,869,964
C,314-317,of Freedom,,815,965
C,432-435,of Invulnerability,,755,972
C,477-479,of Life,,905,974
C,521-523,of Magic Detection,,905,977
C,580-583,Mud,Rings,1106,981
C,679-682,of Protection,Rings,1009,988
C,823-826,Shield,Rings,1093,998
C,871-874,of Strength,Rings,891,1002
E,137-143,Caduceus,Staves,1274,1273
E,209-215,of Conjuration,Staves,1476,1275
E,439-445,of Healing,Staves,1324,1282
F,658-666,of Orcus,Enchanted Enhancements*,1425,1490
F,837-845,of the Sun,Enchanted Enhancements*,1406,1494
F,897-905,of Warding,Enchanted Enhancements*,1319,1496
H,81-82,of Leadership,Amulets,1030,35
H,89-90,of Neutrality,Amulets,942,37
H,106-107,of Power,Amulets,907,39
H,110-111,of Protection,Amulets,1009,39
H,128-129,of Recall,Amulets,886,42
H,134-135,Shield,Amulets,1093,43
H,140-141,of the Spirit,Amulets,706,43
H,146-147,of Transformation,Amulets,1435,43
